Task Category,Task Name,Feature / Fix Description,Impact / Benefit
"Chatbot & Support","Concierge UI Restoration","Restored the Concierge chatbot interface to the standard right-side layout.","Improved user engagement and access to support."
"Chatbot & Support","WhatsApp Integration","Configured the floating WhatsApp button with the actual business number (+91 99203 87722).","Direct and accurate lead generation channel."
"Chatbot & Support","Sales Routing","Added a 'Call Sales' direct routing capability to the chatbot menu.","Faster conversion funnel for high-intent buyers."
"SEO & Crawling","Sitemap Architecture","Programmed a dynamic sitemap.ts to map all static and dynamic project/blog routes.","Ensures Google and search engines index the entire site architecture."
"SEO & Crawling","Search Engine Directives","Configured robots.ts to control web crawler behavior and establish indexing rules.","Prevents SEO penalties and directs traffic to the correct sitemap."
"AI Readiness","AI Crawler Optimization","Created an llms.txt file containing structured company and project data for direct LLM ingestion.","Allows AI bots (ChatGPT, Claude, Perplexity) to correctly read and rank Trishabh Group's information."
"Performance","Scroll Optimization (Lenis)","Re-architected smooth scrolling by replacing GSAP tickers with native requestAnimationFrame.","Eliminated scroll jitter and dramatically improved frame rates on mobile."
"Performance","Asset Localization","Localized the noise.svg texture to eliminate 404 network errors.","Reduced network latency and prevented console errors during page load."
"Accessibility","Iframe Screen Readers","Added missing screen-reader title attributes to all external Google Map iframes.","Improved web accessibility score on Google Lighthouse."
"Accessibility","Video Subtitle Tracks","Implemented empty <track> elements on background videos to satisfy strict accessibility audits.","Cleared Lighthouse warnings and improved overall SEO score."
"Security & Maintenance","Next.js Version Upgrade","Updated the Next.js framework core to stable version 16.3.5.","Ensures platform stability and access to the latest Next.js features."
"Security & Maintenance","Vulnerability Patching","Ran comprehensive npm audit fix to resolve reported high-severity dependency vulnerabilities.","Secured the website infrastructure against known exploits."
"UI/UX","Immersive Project Sites","Engineered a full-screen viewport hijack mechanism for dedicated project sites (e.g., Miraya).","Provides a highly premium, uninterrupted experience for flagship projects."
"UI/UX","Navigation Experience","Implemented a floating 'Back to Projects' UI component for dedicated websites.","Ensures seamless exit from immersive views back to the main portfolio."
"CMS & Admin","CMS Architecture Refactor","Implemented Next.js 'Route Groups' to cleanly separate the Sanity Studio from frontend UI.","A cleaner, more modular codebase following Next.js best practices."
"CMS & Admin","Sanity UI Cleanup","Eliminated frontend components (Navbar/Footer) bleeding into the Sanity CMS admin panel.","Provides a distraction-free, professional environment for content editors."
"Branding","Global Favicon","Configured and deployed the official Trishabh Group logo as the global browser favicon.","Maintains professional brand identity across browser tabs and bookmarks."
"Code Quality","JSX Syntax Correction","Resolved multiple unescaped JSX string literal warnings across the About and Projects pages.","Ensures clean, error-free React code."
"Code Quality","Build Stability","Cleared Next.js cache and ensured successful zero-error production builds.","Guarantees smooth deployments to Vercel."
